STATE OF NEW HAMPSHIRE,,,,,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,,,,,
AGENCY FY26 - FY27 BUDGET SUMMISSION - BUDGET VERSION: 2026B01,,,,,,,,,,,,,,,
RUN DATE: 10/08/2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY24 Actual ,FY25 Adj Auth,FY26 Efficiency ,FY26 Prioritized Needs,FY26 Total Request,FY27 Efficiency,FY27 Prioritized Needs,FY27 Total Request
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37030000-CANNON MOUNTAIN,Funding,005-Private Local Funds,"7,032",0,0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37030000-CANNON MOUNTAIN,Funding,009-Agency Income,"9,285,292","9,135,384","8,930,358",0,"8,930,358","9,028,804",0,"9,028,804"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37030000-CANNON MOUNTAIN,Funding,00S-General Fund,0,0,0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37030000-CANNON MOUNTAIN,Position,FTE1-Permanent Classified,15,15,15,0,15,15,0,15
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37030000-CANNON MOUNTAIN,Position,FTE2-Unclassified Positions,1,1,1,0,1,1,0,1
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,018-Overtime,"5,524","13,440","5,000",0,"5,000","5,000",0,"5,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,019-Holiday Pay,"3,025","11,200","3,500",0,"3,500","3,500",0,"3,500"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,020-Current Expenses,"52,121","35,000","45,000",0,"45,000","45,000",0,"45,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,023-Heat- Electricity - Water,"1,125","20,000","5,000",0,"5,000","5,000",0,"5,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,024-Maint.Other Than Build.- Grnds,536,"1,000","1,000",0,"1,000","1,000",0,"1,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,026-Organizational Dues,150,150,150,0,150,150,0,150
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,030-Equipment New/Replacement,"1,889","10,000","10,000",0,"10,000","10,000",0,"10,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,042-Additional Fringe Benefits,"6,801","6,930","7,815",0,"7,815","7,815",0,"7,815"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,047-Own Forces Maint.-Build.-Grnds,0,"1,000","1,000",0,"1,000","1,000",0,"1,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,048-Contractual Maint.-Build-Grnds,0,"1,000","1,000",0,"1,000","1,000",0,"1,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,050-Personal Service-Temp/Appointe,"479,374","358,588","450,000",0,"450,000","450,000",0,"450,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,059-Temp Full Time,"141,259","100,411","97,677",0,"97,677","97,677",0,"97,677"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,060-Benefits,"157,791","96,841","115,999",0,"115,999","115,999",0,"115,999"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,062-Workers Compensation,0,"5,000","5,000",0,"5,000","5,000",0,"5,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,070-In-State Travel Reimbursement,586,"1,500","1,500",0,"1,500","1,500",0,"1,500"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,080-Out-Of State Travel,733,"1,000","1,000",0,"1,000","1,000",0,"1,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,103-Contracts for Op Services,"25,162","25,000","25,000",0,"25,000","25,000",0,"25,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Expense,106-Goods For Resale,"639,171","650,000","650,000",0,"650,000","650,000",0,"650,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Funding,003-Revolving Funds,"1,430,672","1,338,060","1,425,641",0,"1,425,641","1,425,641",0,"1,425,641"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37040000-CANNON RETAIL & CONCESSION,Funding,009-Agency Income,"84,575",0,0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37170000-LW CONSERVE FUND GRANTS,Expense,020-Current Expenses,"1,724",0,0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37170000-LW CONSERVE FUND GRANTS,Expense,030-Equipment New/Replacement,"3,387",0,0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37170000-LW CONSERVE FUND GRANTS,Expense,039-Telecommunications,123,0,0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37170000-LW CONSERVE FUND GRANTS,Expense,040-Indirect Costs,0,"39,150","50,000",0,"50,000","50,000",0,"50,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37170000-LW CONSERVE FUND GRANTS,Expense,041-Audit Fund Set Aside,251,"3,500","1,000",0,"1,000","1,000",0,"1,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37170000-LW CONSERVE FUND GRANTS,Expense,047-Own Forces Maint.-Build.-Grnds,"39,359",0,0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37170000-LW CONSERVE FUND GRANTS,Expense,050-Personal Service-Temp/Appointe,"15,898",0,0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37170000-LW CONSERVE FUND GRANTS,Expense,059-Temp Full Time,0,0,"63,824",0,"63,824","66,573",0,"66,573"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37170000-LW CONSERVE FUND GRANTS,Expense,060-Benefits,"5,499",0,"22,581",0,"22,581","23,554",0,"23,554"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37170000-LW CONSERVE FUND GRANTS,Expense,072-Grants-Federal,"523,524","3,500,000","1,000,000",0,"1,000,000","1,000,000",0,"1,000,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37170000-LW CONSERVE FUND GRANTS,Expense,080-Out-Of State Travel,"1,843",0,"2,000",0,"2,000","2,000",0,"2,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37170000-LW CONSERVE FUND GRANTS,Expense,103-Contracts for Op Services,"8,436",0,0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37170000-LW CONSERVE FUND GRANTS,Funding,000-Federal Funds,"600,044","3,542,650","1,139,405",0,"1,139,405","1,143,127",0,"1,143,127"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,010-Personal Services-Perm. Classi,"1,927,407","2,095,734","2,620,378",0,"2,620,378","2,687,204",0,"2,687,204"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,018-Overtime,"42,782","44,800","45,000",0,"45,000","45,000",0,"45,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,019-Holiday Pay,"14,910","28,000","15,000",0,"15,000","15,000",0,"15,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,020-Current Expenses,"1,091,607","1,020,100","1,020,000",0,"1,020,000","1,020,000",0,"1,020,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,022-Rents-Leases Other Than State,"65,890","125,000","75,000",0,"75,000","75,000",0,"75,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,023-Heat- Electricity - Water,"427,325","504,000","450,000",0,"450,000","450,000",0,"450,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,024-Maint.Other Than Build.- Grnds,"18,352","24,500","20,000",0,"20,000","20,000",0,"20,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,026-Organizational Dues,329,"8,850",500,0,500,500,0,500
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,027-Transfers To Oit,0,0,0,"1,054","1,054",0,571,571
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,029-Intra-Agency Transfers,"1,433,446","1,750,255","1,371,483",0,"1,371,483","1,400,333",0,"1,400,333"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,030-Equipment New/Replacement,"339,485","400,000","400,000",0,"400,000","400,000",0,"400,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,037-Technology - Hardware,146,500,500,0,500,500,0,500
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,038-Technology - Software,"1,287","4,000","4,000",0,"4,000","4,000",0,"4,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,039-Telecommunications,"231,064","204,474","250,000",0,"250,000","250,000",0,"250,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,042-Additional Fringe Benefits,"179,689","184,747","243,949",0,"243,949","249,340",0,"249,340"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,044-Debt Service Other Agencies,"26,869","26,869","1,000",0,"1,000","1,000",0,"1,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,047-Own Forces Maint.-Build.-Grnds,"348,000","425,000","350,000",0,"350,000","350,000",0,"350,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,048-Contractual Maint.-Build-Grnds,"781,285","1,000,000","800,000",0,"800,000","750,000",0,"750,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,049-Transfer to Other State Agenci,0,"10,956",0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,050-Personal Service-Temp/Appointe,"4,612,694","4,650,823","4,650,000",0,"4,650,000","4,650,000",0,"4,650,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,059-Temp Full Time,"253,962","389,542","428,971",0,"428,971","429,538",0,"429,538"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,060-Benefits,"1,543,817","1,782,219","2,042,019",0,"2,042,019","2,125,246",0,"2,125,246"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,061-Unemployment Compensation,"39,200","50,000","50,000",0,"50,000","50,000",0,"50,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,062-Workers Compensation,"190,521","250,000","205,000",0,"205,000","215,000",0,"215,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,066-Employee training,"24,523","5,000","25,000",0,"25,000","25,000",0,"25,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,070-In-State Travel Reimbursement,"129,345","131,500","131,500",0,"131,500","131,500",0,"131,500"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,080-Out-Of State Travel,"7,280","3,000","7,500",0,"7,500","7,500",0,"7,500"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,102-Contracts for program services,"369,398","294,500","350,000",0,"350,000","350,000",0,"350,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,103-Contracts for Op Services,"1,235,787","795,000","865,000",0,"865,000","830,000",0,"830,000"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Expense,211-Property and Casualty Insuranc,"27,989","29,481","34,967",0,"34,967","40,919",0,"40,919"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Funding,004-Intra-Agency Transfers,"410,553",0,0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Funding,009-Agency Income,"14,803,133","16,238,850","16,456,767","1,054","16,457,821","16,572,580",571,"16,573,151"
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Funding,00S-General Fund,"150,703",0,0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37200000-PARKS OPERATIONS,Position,FTE1-Permanent Classified,34,34,41,0,41,41,0,41
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37450000-CONN LAKE HW STEWARDSHIP ENDOW,Expense,020-Current Expenses,"22,014","12,000",0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37450000-CONN LAKE HW STEWARDSHIP ENDOW,Expense,022-Rents-Leases Other Than State,"65,768","175,000",0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37450000-CONN LAKE HW STEWARDSHIP ENDOW,Expense,030-Equipment New/Replacement,384,"5,000",0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37450000-CONN LAKE HW STEWARDSHIP ENDOW,Expense,040-Indirect Costs,"1,125","1,200",0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37450000-CONN LAKE HW STEWARDSHIP ENDOW,Expense,047-Own Forces Maint.-Build.-Grnds,926,"1,000",0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37450000-CONN LAKE HW STEWARDSHIP ENDOW,Expense,050-Personal Service-Temp/Appointe,0,"82,000",0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37450000-CONN LAKE HW STEWARDSHIP ENDOW,Expense,060-Benefits,0,"6,273",0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37450000-CONN LAKE HW STEWARDSHIP ENDOW,Expense,103-Contracts for Op Services,"1,435","10,000",0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37450000-CONN LAKE HW STEWARDSHIP ENDOW,Funding,008-Agency Income,"91,652","292,473",0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37460000-CONN LAKE HW ROAD MAINT ENDOW,Expense,018-Overtime,0,"1,000",500,0,500,500,0,500
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37460000-CONN LAKE HW ROAD MAINT ENDOW,Expense,020-Current Expenses,"167,634","135,000",0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37460000-CONN LAKE HW ROAD MAINT ENDOW,Expense,022-Rents-Leases Other Than State,"114,880","100,000",0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00035-NATURAL & CULTURAL RESRCS DEPT,035-NATURAL & CULTURAL RESRCS DEPT,REC351510-PARKS AND RECREATION,010-General Fund,37460000-CONN LAKE HW ROAD MAINT ENDOW,Expense,030-Equipment New/Replacement,0,"20,000",0,0,0,0,0,0
