STATE OF NEW HAMPSHIRE,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,
GOVERNOR'S FY24 - FY25 RECOMMENDED BUDGET - BUDGET VERSION: 2024F01,,,,,,,,,,,
RUN DATE: 02/08/2023,,,,,,,,,,,
,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY22 Actual ,FY23 Adj Auth,FY24 Gov Recommend,FY25 Gov Recommend
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,59620000-ADULT BASIC ED GRANT,Expense,"057-Books, Periodicals, Subscripti","17,998","7,450","7,450","7,450"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,59620000-ADULT BASIC ED GRANT,Expense,060-Benefits,"3,097","3,632",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,59620000-ADULT BASIC ED GRANT,Expense,102-Contracts for program services,0,0,"11,845","11,845"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,59620000-ADULT BASIC ED GRANT,Funding,001-Transfer from Other Agencies,"-45,272","-48,274",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,59620000-ADULT BASIC ED GRANT,Funding,00D-Fed Rev Xfers from Other Agencies,"-16,311","-25,990","-35,000","-35,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80350000-PERKINS GRANT,Expense,020-Current Expenses,0,"13,500","13,500","13,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80350000-PERKINS GRANT,Expense,030-Equipment New/Replacement,0,0,"1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80350000-PERKINS GRANT,Expense,037-Technology - Hardware,0,"25,000","14,000","14,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80350000-PERKINS GRANT,Expense,038-Technology - Software,0,"24,999","24,999","24,999"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80350000-PERKINS GRANT,Expense,039-Telecommunications,0,"5,000","5,000","5,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80350000-PERKINS GRANT,Expense,040-Indirect Costs,0,1,1,1
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80350000-PERKINS GRANT,Expense,"057-Books, Periodicals, Subscripti",0,"35,000","35,000","35,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80350000-PERKINS GRANT,Expense,066-Employee training,0,"15,000","15,000","15,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80350000-PERKINS GRANT,Expense,070-In-State Travel Reimbursement,0,"1,500","1,500","1,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80350000-PERKINS GRANT,Expense,072-Grants-Federal,0,"10,000","5,000","5,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80350000-PERKINS GRANT,Expense,102-Contracts for program services,0,0,"5,000","5,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80350000-PERKINS GRANT,Funding,00D-Fed Rev Xfers from Other Agencies,0,"-130,000","-120,000","-120,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80390000-8039FCC,Expense,020-Current Expenses,"6,354","1,499","1,499","1,499"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80390000-8039FCC,Expense,022-Rents-Leases Other Than State,0,0,"1,500","1,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80390000-8039FCC,Expense,030-Equipment New/Replacement,"1,799","2,000","2,000","2,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80390000-8039FCC,Expense,037-Technology - Hardware,0,0,"1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80390000-8039FCC,Expense,038-Technology - Software,0,0,"1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80390000-8039FCC,Expense,039-Telecommunications,"16,829",750,750,750
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80390000-8039FCC,Expense,040-Indirect Costs,0,1,1,1
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80390000-8039FCC,Expense,"057-Books, Periodicals, Subscripti","1,876","2,250","2,250","2,250"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80390000-8039FCC,Expense,066-Employee training,"2,517","1,500","1,500","1,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80390000-8039FCC,Expense,070-In-State Travel Reimbursement,"1,792",500,500,500
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80390000-8039FCC,Expense,102-Contracts for program services,"44,314","91,500","88,000","88,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,80390000-8039FCC,Funding,001-Transfer from Other Agencies,"-75,481","-100,000","-100,000","-100,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Expense,010-Personal Services-Perm. Classi,"241,781","271,918","261,572","267,052"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Expense,018-Overtime,0,0,"4,169","4,169"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Expense,020-Current Expenses,"1,493","2,499","2,499","2,499"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Expense,026-Organizational Dues,300,300,300,300
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Expense,039-Telecommunications,"3,018","3,018","4,077","4,077"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Expense,040-Indirect Costs,0,1,1,1
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Expense,042-Additional Fringe Benefits,"2,728","8,092","7,337","7,554"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Expense,050-Personal Service-Temp/Appointe,"38,338","40,449","52,207","52,207"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Expense,060-Benefits,"164,986","171,452","146,101","152,651"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Expense,066-Employee training,0,550,550,550
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Expense,070-In-State Travel Reimbursement,0,851,851,851
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Expense,080-Out-Of State Travel,"4,836","5,072","8,000","8,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Expense,102-Contracts for program services,"59,759","10,700","10,500","60,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Funding,00D-Fed Rev Xfers from Other Agencies,"-233,172","-211,813","-209,148","-209,108"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Funding,00S-General Fund,"-284,067","-303,089","-289,016","-351,303"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83380000-VICTIMS SERVICES COORDINATOR,Position,FTE1-Permanent Classified,4,4,4,4
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83440000-SCAAP,Expense,020-Current Expenses,752,"20,000","20,000","20,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83440000-SCAAP,Expense,030-Equipment New/Replacement,0,"100,000","100,000","100,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83440000-SCAAP,Expense,041-Audit Fund Set Aside,0,136,136,136
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83440000-SCAAP,Expense,047-Own Forces Maint.-Build.-Grnds,"2,394","5,000","5,000","5,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83440000-SCAAP,Expense,048-Contractual Maint.-Build-Grnds,"5,200","10,000","10,000","10,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83440000-SCAAP,Expense,102-Contracts for program services,0,"1,000","1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,GRT460510-CORRECTIONS GRANTS,010-General Fund,83440000-SCAAP,Funding,000-Federal Funds,"-8,346","-136,136","-136,136","-136,136"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,010-Personal Services-Perm. Classi,"819,493","1,243,598","1,172,753","1,192,304"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,018-Overtime,"1,442","2,017","2,017","2,017"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,019-Holiday Pay,466,657,657,657
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,020-Current Expenses,"585,408","766,782","881,799","925,889"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,022-Rents-Leases Other Than State,"26,000","18,757","21,771","21,771"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,023-Heat- Electricity - Water,"15,993","11,299","15,421","16,038"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,024-Maint.Other Than Build.- Grnds,"31,304","25,310","25,310","25,310"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,026-Organizational Dues,0,775,"1,175","1,175"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,030-Equipment New/Replacement,"28,737","42,895","34,376","38,083"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,037-Technology - Hardware,"7,495","6,784","5,405","5,405"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,038-Technology - Software,0,"3,296","1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,039-Telecommunications,"6,938","9,744","19,318","19,318"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,040-Indirect Costs,"46,818","57,672","54,517","54,517"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,042-Additional Fringe Benefits,"30,284","107,761","93,820","95,384"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,047-Own Forces Maint.-Build.-Grnds,0,"4,074","12,000","12,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,048-Contractual Maint.-Build-Grnds,"25,710","3,605","25,000","25,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,049-Transfer to Other State Agenci,55,"1,097",803,803
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,050-Personal Service-Temp/Appointe,"62,063","118,131","140,118","140,118"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,"057-Books, Periodicals, Subscripti",0,165,"1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,060-Benefits,"579,495","840,564","826,579","864,564"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,066-Employee training,0,"2,103","4,000","4,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,068-Remuneration,"166,179","191,580","196,556","196,556"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,070-In-State Travel Reimbursement,"10,072","39,261","39,261","39,261"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,080-Out-Of State Travel,0,"3,985","3,985","3,985"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,103-Contracts for Op Services,"12,586","6,956","12,964","12,964"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Expense,211-Property and Casualty Insuranc,"2,857","3,142","3,190","3,511"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Funding,009-Agency Income,"-2,459,395","-3,512,010","-3,594,795","-3,702,630"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,IND462010-PRISON INDUSTRIES,010-General Fund,57310000-CORRECTIONAL INDUSTRIES INVNTY,Position,FTE1-Permanent Classified,22,22,22,22
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,INS469010-INSTITUTIONAL PROGRAMS,010-General Fund,78600000-VOCATIONAL TRAINING TRUST,Expense,040-Indirect Costs,"2,352","1,474","1,940","1,940"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,INS469010-INSTITUTIONAL PROGRAMS,010-General Fund,78600000-VOCATIONAL TRAINING TRUST,Expense,103-Contracts for Op Services,"98,260","350,000","350,000","350,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,INS469010-INSTITUTIONAL PROGRAMS,010-General Fund,78600000-VOCATIONAL TRAINING TRUST,Funding,005-Private Local Funds,"-100,612","-351,474","-351,940","-351,940"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,010-Personal Services-Perm. Classi,"1,534,537","2,282,464","2,217,242","2,266,320"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,017-FT Employees Special Payments,0,"9,579",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,018-Overtime,"604,913","249,727","249,727","249,727"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,019-Holiday Pay,"61,359","62,279","63,276","64,225"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,020-Current Expenses,"27,921","28,479","23,259","23,259"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,022-Rents-Leases Other Than State,"2,087","2,239","1,996","1,996"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,024-Maint.Other Than Build.- Grnds,"15,075",990,990,990
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,030-Equipment New/Replacement,"19,289",0,"2,192",0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,039-Telecommunications,"9,093","9,093","10,897","10,897"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,050-Personal Service-Temp/Appointe,"32,215","65,604","64,696","64,696"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,060-Benefits,"1,216,951","1,547,928","1,536,896","1,603,866"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,068-Remuneration,"30,496","35,166","35,166","35,166"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,070-In-State Travel Reimbursement,"2,409","2,209",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,101-Medical Payments to Providers,"15,861","37,500","37,500","37,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00046-CORRECTIONS DEPT,046-CORRECTIONS DEPT,MED465010-MEDICAL AND FORENSIC SERVICES,010-General Fund,58330000-SECURE PSYCHIATRIC UNIT,Expense,103-Contracts for Op Services,"5,632","5,632","5,745","5,745"
