STATE OF NEW HAMPSHIRE,,,,,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,,,,,
AGENCY FY26 - FY27 BUDGET SUMMISSION - BUDGET VERSION: 2026B01,,,,,,,,,,,,,,,
RUN DATE: 10/08/2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY24 Actual ,FY25 Adj Auth,FY26 Efficiency ,FY26 Prioritized Needs,FY26 Total Request,FY27 Efficiency,FY27 Prioritized Needs,FY27 Total Request
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10240000-MERCHANDISING-ADMINISTRATION,Position,FTE1-Permanent Classified,14,14,12,0,12,12,0,12
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10240000-MERCHANDISING-ADMINISTRATION,Position,FTE2-Unclassified Positions,1,1,1,0,1,1,0,1
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,010-Personal Services-Perm. Classi,11754672,14188502,13670978,0,13670978,14034111,0,14034111
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,017-FT Employees Special Payments,17238,5000,20000,0,20000,20000,0,20000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,018-Overtime,2552697,2338485,2500000,0,2500000,2500000,0,2500000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,019-Holiday Pay,62923,2240,70000,0,70000,70000,0,70000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,020-Current Expenses,1400958,1448300,1495700,0,1495700,1495700,0,1495700
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,022-Rents-Leases Other Than State,11122344,10956000,12121000,0,12121000,12181200,0,12181200
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,023-Heat- Electricity - Water,1982996,2202600,1871542,0,1871542,1938954,0,1938954
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,030-Equipment New/Replacement,313216,1070000,1100000,0,1100000,1100000,0,1100000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,037-Technology - Hardware,0,600000,10000,0,10000,10000,0,10000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,038-Technology - Software,831877,2031054,1000000,0,1000000,1000000,0,1000000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,039-Telecommunications,459462,686500,515500,0,515500,515500,0,515500
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,040-Indirect Costs,1454231,1009788,1513524,0,1513524,1520907,0,1520907
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,044-Debt Service Other Agencies,4688931,5700000,4997842,0,4997842,4621366,0,4621366
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,047-Own Forces Maint.-Build.-Grnds,22315,40000,40000,0,40000,40000,0,40000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,049-Transfer to Other State Agenci,17894136,22895151,23300000,0,23300000,23800000,0,23800000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,050-Personal Service-Temp/Appointe,11283181,11667404,11500000,0,11500000,11500000,0,11500000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,060-Benefits,8336924,10251817,10318344,0,10318344,10839605,0,10839605
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,064-Ret-Pension Bene-Health Ins,1203761,1476400,1367400,0,1367400,1601100,0,1601100
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,070-In-State Travel Reimbursement,188165,141860,215600,0,215600,215600,0,215600
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,103-Contracts for Op Services,3171843,5300000,5980000,0,5980000,5880000,0,5880000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Expense,211-Property and Casualty Insuranc,14470,14589,17957,0,17957,19912,0,19912
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Funding,00S-Liquor Commission,78756340,94025690,93625387,0,93625387,94903955,0,94903955
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10300000-STORE OPERATIONS,Position,FTE1-Permanent Classified,281,281,269,0,269,269,0,269
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10310000-MERCHANDISING-ADVERTISING,Expense,020-Current Expenses,3075506,3000000,3000000,0,3000000,3000000,0,3000000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10310000-MERCHANDISING-ADVERTISING,Funding,00S-Liquor Commission,3075506,3000000,3000000,0,3000000,3000000,0,3000000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10400000-WAREHOUSE - TRANSPORTATION,Expense,010-Personal Services-Perm. Classi,121267,137375,139944,0,139944,145548,0,145548
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10400000-WAREHOUSE - TRANSPORTATION,Expense,018-Overtime,14324,10020,15000,0,15000,15000,0,15000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10400000-WAREHOUSE - TRANSPORTATION,Expense,019-Holiday Pay,0,500,500,0,500,500,0,500
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10400000-WAREHOUSE - TRANSPORTATION,Expense,020-Current Expenses,13118,14850,15600,0,15600,15600,0,15600
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10400000-WAREHOUSE - TRANSPORTATION,Expense,022-Rents-Leases Other Than State,0,200,0,0,0,0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10400000-WAREHOUSE - TRANSPORTATION,Expense,039-Telecommunications,1784,0,2100,0,2100,2100,0,2100
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10400000-WAREHOUSE - TRANSPORTATION,Expense,050-Personal Service-Temp/Appointe,15873,62380,20000,0,20000,20001,0,20001
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10400000-WAREHOUSE - TRANSPORTATION,Expense,060-Benefits,62641,106013,70968,0,70968,74872,0,74872
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10400000-WAREHOUSE - TRANSPORTATION,Expense,103-Contracts for Op Services,16435,17000,18200,0,18200,18200,0,18200
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10400000-WAREHOUSE - TRANSPORTATION,Funding,00S-Liquor Commission,245442,348338,282312,0,282312,291821,0,291821
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,MAM771512-MARKETING AND MERCHANDISING,012-Liquor Commission,10400000-WAREHOUSE - TRANSPORTATION,Position,FTE1-Permanent Classified,3,3,4,0,4,4,0,4
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,UNC772512-UNEMPLOYMENT COMPENSATION,012-Liquor Commission,61550000-UNEMPLOYMENT COMPENSATION,Expense,061-Unemployment Compensation,12977,20000,20000,0,20000,20000,0,20000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,UNC772512-UNEMPLOYMENT COMPENSATION,012-Liquor Commission,61550000-UNEMPLOYMENT COMPENSATION,Funding,00S-Liquor Commission,12977,20000,20000,0,20000,20000,0,20000
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,WKC772012-WORKERS COMPENSATION,012-Liquor Commission,85950000-WORKERS COMPENSATION,Expense,040-Indirect Costs,0,0,3242,0,3242,3257,0,3257
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,WKC772012-WORKERS COMPENSATION,012-Liquor Commission,85950000-WORKERS COMPENSATION,Expense,062-Workers Compensation,499809,1226191,328416,0,328416,350944,0,350944
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00077-LIQUOR COMMISSION,077-LIQUOR COMMISSION,WKC772012-WORKERS COMPENSATION,012-Liquor Commission,85950000-WORKERS COMPENSATION,Funding,00S-Liquor Commission,499809,1226191,331658,0,331658,354201,0,354201
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38500000-ADMINISTRATION,Expense,010-Personal Services-Perm. Classi,96636,101027,89822,0,89822,91427,0,91427
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38500000-ADMINISTRATION,Expense,018-Overtime,9377,61600,61600,0,61600,61600,0,61600
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38500000-ADMINISTRATION,Expense,019-Holiday Pay,279,1000,1000,0,1000,1000,0,1000
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38500000-ADMINISTRATION,Expense,020-Current Expenses,11,200,200,0,200,200,0,200
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38500000-ADMINISTRATION,Expense,040-Indirect Costs,2144,11000,6385,0,6385,6416,0,6416
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38500000-ADMINISTRATION,Expense,042-Additional Fringe Benefits,0,100,100,0,100,100,0,100
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38500000-ADMINISTRATION,Expense,049-Transfer to Other State Agenci,0,0,3470,0,3470,3470,0,3470
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38500000-ADMINISTRATION,Expense,060-Benefits,63423,44622,68663,0,68663,71736,0,71736
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38500000-ADMINISTRATION,Expense,062-Workers Compensation,8072,1198,27754,0,27754,29650,0,29650
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38500000-ADMINISTRATION,Expense,211-Property and Casualty Insuranc,5809,6632,6823,0,6823,7719,0,7719
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38500000-ADMINISTRATION,Funding,006-Agency Income,185751,227379,265817,0,265817,273318,0,273318
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38500000-ADMINISTRATION,Position,FTE1-Permanent Classified,2,2,2,0,2,2,0,2
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38570000-HARBOR MANAGEMENT PROGRAM,Expense,010-Personal Services-Perm. Classi,175493,215933,228380,0,228380,228379,0,228379
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38570000-HARBOR MANAGEMENT PROGRAM,Expense,018-Overtime,25923,44560,50000,0,50000,55000,0,55000
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38570000-HARBOR MANAGEMENT PROGRAM,Expense,019-Holiday Pay,1146,1680,1680,0,1680,1680,0,1680
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38570000-HARBOR MANAGEMENT PROGRAM,Expense,040-Indirect Costs,4215,4500,0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38570000-HARBOR MANAGEMENT PROGRAM,Expense,042-Additional Fringe Benefits,0,100,100,0,100,100,0,100
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38570000-HARBOR MANAGEMENT PROGRAM,Expense,050-Personal Service-Temp/Appointe,69409,102348,102350,0,102350,102351,0,102351
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38570000-HARBOR MANAGEMENT PROGRAM,Expense,060-Benefits,103289,135573,162212,0,162212,167814,0,167814
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38570000-HARBOR MANAGEMENT PROGRAM,Expense,064-Ret-Pension Bene-Health Ins,0,151300,160400,0,160400,191400,0,191400
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38570000-HARBOR MANAGEMENT PROGRAM,Funding,006-Agency Income,379475,655994,705122,0,705122,746724,0,746724
03-RESOURCE PROTECT & DEVELOPMT,00013-PEASE DEVELOPMENT AUTHORITY,013-PEASE DEVELOPMENT AUTHORITY,DPH130510-DIVISION OF PORTS AND HARBORS,010-General Fund,38570000-HARBOR MANAGEMENT PROGRAM,Position,FTE1-Permanent Classified,3,3,3,0,3,3,0,3
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,010-Personal Services-Perm. Classi,331987,449702,325882,66573,392455,336839,69348,406187
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,011-Personal Services-Unclassified,208607,225258,256178,0,256178,256179,0,256179
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,018-Overtime,0,0,1,2000,2001,1,2000,2001
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,019-Holiday Pay,0,0,0,500,500,0,500,500
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,020-Current Expenses,12268,11000,11000,300,11300,11000,300,11300
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,022-Rents-Leases Other Than State,326841,327500,233549,0,233549,233549,0,233549
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,026-Organizational Dues,0,1,0,0,0,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,027-Transfers To Oit,231840,296529,288296,257,288553,296933,140,297073
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,030-Equipment New/Replacement,0,0,0,350,350,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,037-Technology - Hardware,3368,7500,7500,2000,9500,7700,0,7700
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,038-Technology - Software,0,0,0,400,400,0,0,0
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,039-Telecommunications,37781,51560,32600,1300,33900,32600,500,33100
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,040-Indirect Costs,62364,128000,65905,0,65905,66227,0,66227
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,042-Additional Fringe Benefits,3789,3805,4656,0,4656,4744,0,4744
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,049-Transfer to Other State Agenci,16716,5998,4996,0,4996,4996,0,4996
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,060-Benefits,256445,342392,301717,39003,340720,317335,41405,358740
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,061-Unemployment Compensation,0,275,200,0,200,200,0,200
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,066-Employee training,679,20000,10000,0,10000,10000,0,10000
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,070-In-State Travel Reimbursement,256,4000,2000,1000,3000,2000,1000,3000
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,080-Out-Of State Travel,0,4000,2000,500,2500,2000,500,2500
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Expense,211-Property and Casualty Insuranc,3066,3225,3034,0,3034,3365,0,3365
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Funding,00C-Agency Indirect Cost Recoveries,245526,123987,158939,0,158939,162005,0,162005
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Funding,00S-General Fund,1250481,1756758,1390575,114183,1504758,1423663,115693,1539356
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Position,FTE1-Permanent Classified,6,6,5,1,6,5,1,6
03-RESOURCE PROTECT & DEVELOPMT,00022-BUS & ECON AFFAIRS DEPT,022-BUS & ECON AFFAIRS DEPT,COM220010-OFFICE OF THE COMMISSIONER,010-General Fund,20070000-ADMINISTRATION - SUPPORT,Position,FTE2-Unclassified Positions,2,2,2,0,2,2,0,2
